Id,NightDuration,Weather,NewYear,Holliday,Sunday,Saturday,CovidCases,Target
4284,721,-3.9,0.0,0.0,0,0,0.0,730178.0
4285,717,-6.6,0.0,0.0,0,1,0.0,713657.0
4286,711,-6.0,0.0,0.0,1,0,0.0,706492.0
4287,706,-3.9,0.0,0.0,0,0,0.0,727303.0
4288,701,-4.0,0.0,0.0,0,0,0.0,728488.0
4289,696,-3.2,0.0,0.0,0,0,0.0,729554.0
4290,691,-0.5,0.0,0.0,0,0,0.0,727919.0
4291,686,0.2,0.0,0.0,0,0,0.0,725245.0
4292,681,-4.3,0.0,0.0,0,1,0.0,709456.0
4293,676,-7.4,0.0,0.0,1,0,0.0,703555.0
4294,671,-6.0,0.0,0.0,0,0,0.0,727868.0
4295,665,-6.8,0.0,0.0,0,0,0.0,726835.0
4296,660,-6.1,0.0,0.0,0,0,0.0,726693.0
4297,656,-5.0,0.0,0.0,0,0,0.0,717862.0
4298,651,-2.8,0.0,0.0,0,0,0.0,709465.0
4299,645,-3.0,0.0,0.0,0,1,0.0,694716.0
4300,640,-2.8,0.0,0.0,1,0,0.0,687890.0
4301,635,3.4,0.0,0.0,0,0,0.0,706881.0
4302,631,5.8,0.0,0.0,0,0,0.0,694380.0
4303,626,4.9,0.0,0.0,0,0,0.0,695048.0
4304,620,6.8,0.0,0.0,0,0,0.0,690859.0
4305,615,6.0,0.0,0.0,0,0,0.0,696148.0
4306,610,5.0,0.0,0.0,0,1,0.0,678275.0
4307,606,4.2,0.0,0.0,1,0,0.0,671346.0
4308,600,6.8,0.0,0.0,0,0,0.0,692127.0
4309,595,6.0,0.0,0.0,0,0,0.0,682580.0
4310,590,6.5,0.0,0.0,0,0,0.0,682572.0
4311,586,8.2,0.0,0.0,0,0,0.0,690310.0
4312,581,6.9,0.0,0.0,0,0,0.0,690924.0
4313,575,6.7,0.0,0.0,0,1,0.0,666357.0
4314,570,9.3,0.0,0.0,1,0,0.0,657055.0
4315,566,7.8,0.0,0.0,0,0,0.0,683743.0
4316,561,4.8,0.0,0.0,0,0,0.0,682279.0
4317,555,3.9,0.0,0.0,0,0,0.0,688215.0
4318,551,4.6,0.0,0.0,0,0,0.0,677290.0
4319,546,4.1,0.0,0.0,0,0,0.0,681220.0
4320,541,5.1,0.0,0.0,0,1,0.0,660722.0
4321,536,6.1,0.0,0.0,1,0,0.0,638770.0
4322,531,4.4,0.0,0.0,0,0,0.0,670978.0
4323,527,3.9,0.0,0.0,0,0,0.0,676156.0
4324,522,8.8,0.0,0.0,0,0,0.0,672396.0
4325,517,12.7,0.0,0.0,0,0,0.0,659271.0
4326,512,10.9,0.0,0.0,0,0,0.0,656325.0
4327,508,8.0,0.0,0.0,0,1,0.0,635645.0
4328,503,13.0,0.0,0.0,1,0,0.0,624202.0
4329,498,12.6,0.0,1.0,0,0,0.0,634847.0
4330,493,8.8,0.0,0.0,0,0,0.0,654962.0
4331,489,12.7,0.0,0.0,0,0,0.0,655653.0
4332,484,10.9,0.0,0.0,0,0,0.0,653699.0
4333,480,9.2,0.0,0.0,0,0,0.0,649030.0
4334,475,10.5,0.0,0.0,0,1,0.0,626395.0
4335,470,14.0,0.0,0.0,1,0,0.0,617250.0
4336,466,15.8,0.0,1.0,0,0,0.0,609296.0
4337,462,16.8,0.0,0.0,0,0,0.0,633822.0
4338,457,10.5,0.0,0.0,0,0,0.0,643728.0
4339,452,4.5,0.0,0.0,0,0,0.0,650376.0
4340,448,3.8,0.0,0.0,0,0,0.0,655555.0
4341,444,6.3,0.0,0.0,0,1,0.0,633664.0
4342,440,8.0,0.0,0.0,1,0,0.0,623427.0
4343,436,10.3,0.0,0.0,0,0,0.0,642555.0
4344,432,13.7,0.0,0.0,0,0,0.0,638922.0
4345,428,17.0,0.0,0.0,0,0,0.0,630622.0
4346,424,16.1,0.0,0.0,0,0,0.0,629700.0
4347,420,13.6,0.0,0.0,0,0,0.0,633268.0
4348,416,15.6,0.0,0.0,0,1,0.0,614921.0
4349,412,16.4,0.0,0.0,1,0,0.0,606749.0
4350,408,14.3,0.0,0.0,0,0,0.0,630283.0
4351,405,10.0,0.0,0.0,0,0,0.0,633984.0
4352,401,13.7,0.0,0.0,0,0,0.0,630213.0
4353,397,16.6,0.0,0.0,0,0,0.0,622495.0
4354,395,17.1,0.0,0.0,0,0,0.0,621956.0
4355,391,13.5,0.0,0.0,0,1,0.0,607413.0
4356,388,13.9,0.0,0.0,1,0,0.0,599612.0
4357,385,17.8,0.0,0.0,0,0,0.0,620799.0
4358,382,16.2,0.0,0.0,0,0,0.0,620833.0
4359,379,13.8,0.0,0.0,0,0,0.0,630598.0
4360,377,15.0,0.0,0.0,0,0,0.0,631651.0
4361,373,16.1,0.0,0.0,0,0,0.0,625781.0
4362,371,17.2,0.0,0.0,0,1,0.0,600374.0
4363,369,18.5,0.0,0.0,1,0,0.0,589128.0
4364,366,18.4,0.0,0.0,0,0,0.0,615454.0
4365,364,17.7,0.0,0.0,0,0,0.0,621595.0
4366,363,17.2,0.0,0.0,0,0,0.0,624130.0
4367,361,18.0,0.0,0.0,0,0,0.0,622189.0
4368,359,18.5,0.0,0.0,0,0,0.0,622098.0
4369,357,18.0,0.0,0.0,0,1,0.0,600705.0
4370,356,11.9,0.0,0.0,1,0,0.0,596883.0
4371,355,9.5,0.0,1.0,0,0,0.0,603999.0
4372,353,11.2,0.0,0.0,0,0,0.0,630784.0
4373,352,14.7,0.0,0.0,0,0,0.0,636569.0
4374,351,16.9,0.0,0.0,0,0,0.0,632430.0
4375,350,17.7,0.0,0.0,0,0,0.0,625533.0
4376,349,16.8,0.0,0.0,0,1,0.0,605306.0
4377,349,14.8,0.0,0.0,1,0,0.0,600827.0
4378,348,14.5,0.0,0.0,0,0,0.0,626071.0
4379,349,15.9,0.0,0.0,0,0,0.0,622347.0
4380,349,17.2,0.0,0.0,0,0,0.0,616213.0
4381,349,17.5,0.0,0.0,0,0,0.0,617772.0
4382,349,17.4,0.0,0.0,0,0,0.0,616965.0
4383,350,18.2,0.0,0.0,0,1,0.0,598259.0
4384,350,17.9,0.0,0.0,1,0,0.0,589953.0
4385,351,20.6,0.0,0.0,0,0,0.0,613585.0
4386,352,22.0,0.0,0.0,0,0,0.0,615212.0
4387,353,22.8,0.0,0.0,0,0,0.0,616697.0
4388,354,18.1,0.0,0.0,0,0,0.0,611196.0
4389,355,18.3,0.0,0.0,0,0,0.0,605071.0
4390,357,20.7,0.0,0.0,0,1,0.0,588752.0
4391,359,22.7,0.0,0.0,1,0,0.0,588883.0
4392,360,24.2,0.0,0.0,0,0,0.0,619424.0
4393,362,19.8,0.0,0.0,0,0,0.0,615987.0
4394,364,19.8,0.0,0.0,0,0,0.0,618428.0
4395,366,22.5,0.0,0.0,0,0,0.0,619422.0
4396,369,23.9,0.0,0.0,0,0,0.0,622554.0
4397,371,20.4,0.0,0.0,0,1,0.0,602527.0
4398,374,16.2,0.0,0.0,1,0,0.0,599062.0
4399,376,13.1,0.0,0.0,0,0,0.0,621791.0
4400,378,13.3,0.0,0.0,0,0,0.0,623039.0
4401,382,16.2,0.0,0.0,0,0,0.0,618266.0
4402,385,18.5,0.0,0.0,0,0,0.0,621872.0
4403,387,18.1,0.0,0.0,0,0,0.0,623175.0
4404,391,17.8,0.0,0.0,0,1,0.0,601446.0
4405,394,19.6,0.0,0.0,1,0,0.0,596866.0
4406,397,21.6,0.0,0.0,0,0,0.0,623444.0
4407,401,20.1,0.0,0.0,0,0,0.0,626475.0
4408,404,18.6,0.0,0.0,0,0,0.0,627249.0
4409,408,17.0,0.0,0.0,0,0,0.0,624882.0
4410,412,17.6,0.0,0.0,0,0,0.0,626422.0
4411,416,22.0,0.0,0.0,0,1,0.0,604075.0
4412,418,24.1,0.0,0.0,1,0,0.0,595110.0
4413,422,24.8,0.0,0.0,0,0,0.0,625414.0
4414,426,25.5,0.0,0.0,0,0,0.0,628686.0
4415,430,24.8,0.0,0.0,0,0,0.0,628946.0
4416,434,22.5,0.0,0.0,0,0,0.0,629209.0
4417,438,22.6,0.0,0.0,0,0,0.0,627484.0
4418,443,18.8,0.0,0.0,0,1,0.0,610606.0
4419,448,16.3,0.0,0.0,1,0,0.0,604679.0
4420,452,14.8,0.0,0.0,0,0,0.0,627524.0
4421,456,15.4,0.0,0.0,0,0,0.0,619356.0
4422,460,12.9,0.0,0.0,0,0,0.0,618215.0
4423,465,14.3,0.0,0.0,0,0,0.0,616215.0
4424,469,14.3,0.0,0.0,0,0,0.0,619340.0
4425,473,15.9,0.0,0.0,0,1,0.0,602574.0
4426,478,15.2,0.0,0.0,1,0,0.0,595781.0
4427,482,16.7,0.0,0.0,0,0,0.0,617884.0
4428,487,20.3,0.0,0.0,0,0,0.0,620169.0
4429,492,22.7,0.0,0.0,0,0,0.0,621166.0
4430,496,23.9,0.0,0.0,0,0,0.0,623253.0
4431,501,23.4,0.0,0.0,0,0,0.0,622911.0
4432,505,24.6,0.0,0.0,0,1,0.0,611619.0
4433,510,23.8,0.0,0.0,1,0,0.0,605287.0
4434,515,23.4,0.0,0.0,0,0,0.0,631736.0
4435,520,15.7,0.0,0.0,0,0,0.0,628196.0
4436,524,13.8,0.0,0.0,0,0,0.0,625414.0
4437,529,12.6,0.0,0.0,0,0,0.0,627272.0
4438,534,12.4,0.0,0.0,0,0,0.0,630360.0
4439,538,10.6,0.0,0.0,0,1,0.0,615118.0
4440,543,10.3,0.0,0.0,1,0,0.0,612900.0
4441,549,11.6,0.0,0.0,0,0,0.0,632933.0
4442,553,10.4,0.0,0.0,0,0,0.0,642116.0
4443,558,8.8,0.0,0.0,0,0,0.0,646483.0
4444,563,8.1,0.0,0.0,0,0,0.0,653527.0
4445,567,9.3,0.0,0.0,0,0,0.0,651844.0
4446,572,11.8,0.0,0.0,0,1,0.0,629558.0
4447,578,11.4,0.0,0.0,1,0,0.0,623802.0
4448,582,13.0,0.0,0.0,0,0,0.0,640991.0
4449,587,18.7,0.0,0.0,0,0,0.0,636537.0
4450,592,19.6,0.0,0.0,0,0,0.0,631491.0
4451,597,17.9,0.0,0.0,0,0,0.0,624395.0
4452,602,19.3,0.0,0.0,0,0,0.0,629631.0
4453,606,19.3,0.0,0.0,0,1,0.0,609543.0
4454,612,19.2,0.0,0.0,1,0,0.0,605512.0
4455,617,19.2,0.0,0.0,0,0,0.0,626485.0
4456,622,20.4,0.0,0.0,0,0,0.0,629045.0
4457,627,17.1,0.0,0.0,0,0,0.0,630950.0
4458,631,14.5,0.0,0.0,0,0,0.0,636673.0
4459,636,14.7,0.0,0.0,0,0,0.0,639664.0
4460,641,14.5,0.0,0.0,0,1,0.0,625449.0
4461,647,13.6,0.0,0.0,1,0,0.0,623402.0
4462,652,12.9,0.0,0.0,0,0,0.0,647485.0
4463,657,13.7,0.0,0.0,0,0,0.0,649493.0
4464,661,11.7,0.0,0.0,0,0,0.0,651406.0
4465,666,12.2,0.0,0.0,0,0,0.0,647325.0
4466,671,13.3,0.0,0.0,0,0,0.0,645176.0
4467,676,15.3,0.0,0.0,0,1,0.0,630009.0
4468,681,13.8,0.0,0.0,1,0,0.0,624485.0
